id,brand,brand_id,model,vehicle_type,variant,release_year,usable_battery_size,energy_consumption,ac_charger,dc_charger,charging_voltage,battery_size,range,consumption,_model_hash,url,status,error,updated_at,isFixingEmptyName,_manually_fixed_fields,nominal_battery_size,battery_type,type,_rescued_data
6639910f-4391-4845-a5f8-b1097f1f734f,Alpine,e8d7c6b5-a4f3-4e21-0b9a-8b7c6d5e4f3a,A290 Electric 220 hp,car,,2024,52,{'average_consumption': 17},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 100, 'charging_curve': [{'percentage': 0, 'power': 100}, {'percentage': 50, 'power': 100}, {'percentage': 80, 'power': 50}, {'percentage': 100, 'power': 20}], 'is_default_charging_curve': False}",400,52,305,17,,,,,,,,,,,
b04a629e-598e-4bb8-bb75-1023e93abf5b,Alpine,e8d7c6b5-a4f3-4e21-0b9a-8b7c6d5e4f3a,A290 Electric 180 hp,car,,2024,52,{'average_consumption': 16.8},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 100, 'charging_curve': [{'percentage': 0, 'power': 100}, {'percentage': 50, 'power': 100}, {'percentage': 80, 'power': 50}, {'percentage': 100, 'power': 20}], 'is_default_charging_curve': False}",400,52,310,16.8,,,,,,,,,,,
1c9126d4-24d6-4e9f-a49d-15813fa49728,Artega,97d0d03a-63c6-4f33-99d7-6e944f71d7c5,Karo,car,Range Plus,2020,14,{'average_consumption': 7.2},"{'usable_phases': 1, 'ports': ['type2'], 'max_power': 4}","{'ports': ['ccs'], 'max_power': 150, 'charging_curve': [{'percentage': 0, 'power': 150}, {'percentage': 20, 'power': 150}, {'percentage': 40, 'power': 120}, {'percentage': 60, 'power': 90}, {'percentage': 80, 'power': 60}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",400,,,,,,,,,,,,,,
1bc9503b-a552-0342-80fc-8249b7e8ffd0,Audi,89c2668c-0c50-4344-9386-93e4000f7673,GT,car,RS,2021,85,{'average_consumption': 21},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 268, 'charging_curve': [{'percentage': 0, 'power': 254.6}, {'percentage': 75, 'power': 268}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",400,,,,,,,,,,,,,,
e07f4154-56dd-ca68-aec2-c5849c3a0cb3,Audi,89c2668c-0c50-4344-9386-93e4000f7673,GT,car,quattro,2021,85,{'average_consumption': 20.2},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 268, 'charging_curve': [{'percentage': 0, 'power': 254.6}, {'percentage': 75, 'power': 268}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",400,,,,,,,,,,,,,,
3e99e8b9-dcea-755b-2b49-781757dd3946,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q4 Sportback e-tron,car,35,2021,52,{'average_consumption': 17.6},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 7.2}","{'ports': ['ccs'], 'max_power': 100, 'charging_curve': [{'percentage': 0, 'power': 95}, {'percentage': 75, 'power': 100}, {'percentage': 100, 'power': 7.2}], 'is_default_charging_curve': True}",400,,,,,,,,,,,,,,
04baeaa4-6bfc-4700-a553-20748aab54be,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q4 Sportback e-tron,car,50 quattro ,2021,77,{'average_consumption': 19},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 125, 'charging_curve': [{'percentage': 0, 'power': 125}, {'percentage': 35, 'power': 125}, {'percentage': 70, 'power': 65}, {'percentage': 80, 'power': 65}, {'percentage': 100, 'power': 25}], 'is_default_charging_curve': False}",400,,,,,,,,,,,,,,
0ae12bf4-e82a-622b-f669-2fa7bdf4b2fb,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q4 e-tron,car,35,2021,52,{'average_consumption': 18.2},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 7.2}","{'ports': ['ccs'], 'max_power': 100, 'charging_curve': [{'percentage': 0, 'power': 95}, {'percentage': 75, 'power': 100}, {'percentage': 100, 'power': 7.2}], 'is_default_charging_curve': True}",400,,,,,,,,,,,,,,
409a3d54-3dec-b5bb-5d6c-2a48749728c3,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q4 e-tron,car,40,2021,77,{'average_consumption': 18.8},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 125, 'charging_curve': [{'percentage': 0, 'power': 125}, {'percentage': 35, 'power': 125}, {'percentage': 70, 'power': 62}, {'percentage': 80, 'power': 62}, {'percentage': 90, 'power': 35}, {'percentage': 100, 'power': 25}], 'is_default_charging_curve': False}",400,,,,,,,,,,,,,,
103ea134-544e-a2a4-b7e3-ef0d25fa5bb9,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q4 e-tron,car,45,2023,77,{'average_consumption': 18.3},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 135, 'charging_curve': [{'percentage': 0, 'power': 128.3}, {'percentage': 75, 'power': 135}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",400,,,,,,,,,,,,,,
6f9de791-c484-9c22-ba3c-306ace49de76,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q4 e-tron,car,50 quattro,2021,77,{'average_consumption': 19.7},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 125, 'charging_curve': [{'percentage': 0, 'power': 125}, {'percentage': 35, 'power': 125}, {'percentage': 70, 'power': 65}, {'percentage': 80, 'power': 65}, {'percentage': 90, 'power': 35}, {'percentage': 100, 'power': 25}], 'is_default_charging_curve': False}",400,,,,,,,,,,,,,,
e0616632-4741-5ec5-4820-d65c719b2bfe,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q6 e-tron,car,performance,2024,95,{'average_consumption': 19.8},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 260, 'charging_curve': [{'percentage': 0, 'power': 247}, {'percentage': 75, 'power': 260}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",800,,,,,,,,,,,,,,
10299648-b518-4050-a174-0bb0df5f72fc,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q6 e-tron,car,quattro,2024,95,{'average_consumption': 20.6},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 270, 'charging_curve': [{'percentage': 0, 'power': 256.5}, {'percentage': 75, 'power': 270}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",800,,,,,,,,,,,,,,
e3656381-6eaa-14cb-4e52-b128d46c48ab,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q8 e-tron,car,50 quattro,2022,89,{'average_consumption': 20.9},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 155, 'charging_curve': [{'percentage': 0, 'power': 147.3}, {'percentage': 75, 'power': 155}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",400,,,,,,,,,,,,,,
a29d1b2b-3466-c468-abe2-3978f0afaa6f,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q8 e-tron,car,55 quattro,2022,106,{'average_consumption': 21},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 168, 'charging_curve': [{'percentage': 0, 'power': 159.6}, {'percentage': 75, 'power': 168}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",400,,,,,,,,,,,,,,
f987998c-3ca4-e816-e32f-bc49ac5013da,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q8 e-tron,car,Sportback 55 quattro,2022,106,{'average_consumption': 20.2},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 168, 'charging_curve': [{'percentage': 0, 'power': 159.6}, {'percentage': 75, 'power': 168}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",400,,,,,,,,,,,,,,
2184579a-c5f0-bf61-1331-f68260b58c96,Audi,89c2668c-0c50-4344-9386-93e4000f7673,SQ6 e-tron,car,,2024,95,{'average_consumption': 21.3},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 270, 'charging_curve': [{'percentage': 0, 'power': 256.5}, {'percentage': 75, 'power': 270}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",800,,,,,,,,,,,,,,
c6a6bd26-6a8f-4ab7-baf3-6cfa057044e3,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron 50,car,,2019,65,{'average_consumption': 22.7},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 124, 'charging_curve': [{'percentage': 0, 'power': 110}, {'percentage': 10, 'power': 120}, {'percentage': 20, 'power': 124}, {'percentage': 60, 'power': 124}, {'percentage': 70, 'power': 100}, {'percentage': 80, 'power': 77}, {'percentage': 100, 'power': 22}], 'is_default_charging_curve': False}",400,,,,,,,,,,,,,,
059c028d-b2a6-4a8d-947a-158c7537b290,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron 50,car,22kW-AC,2019,65,{'average_consumption': 22.7},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 22}","{'ports': ['ccs'], 'max_power': 124, 'charging_curve': [{'percentage': 0, 'power': 110}, {'percentage': 10, 'power': 120}, {'percentage': 20, 'power': 124}, {'percentage': 60, 'power': 124}, {'percentage': 70, 'power': 100}, {'percentage': 80, 'power': 77}, {'percentage': 100, 'power': 22}], 'is_default_charging_curve': False}",400,,,,,,,,,,,,,,
a9a177bf-9ce5-4b67-b3ef-51af248b48c2,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron 55,car,,2019,87,{'average_consumption': 23.4},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 155, 'charging_curve': [{'percentage': 0, 'power': 137}, {'percentage': 70, 'power': 155}, {'percentage': 72, 'power': 150}, {'percentage': 78, 'power': 120}, {'percentage': 82, 'power': 105}, {'percentage': 100, 'power': 50}], 'is_default_charging_curve': False}",400,,,,,,,,,,,,,,
27d7610e-9a77-498a-b1b5-28d4bc92cbf2,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron 55,car,22kW-AC,2019,87,{'average_consumption': 23.4},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 22}","{'ports': ['ccs'], 'max_power': 155, 'charging_curve': [{'percentage': 0, 'power': 137}, {'percentage': 70, 'power': 155}, {'percentage': 72, 'power': 150}, {'percentage': 78, 'power': 120}, {'percentage': 82, 'power': 105}, {'percentage': 100, 'power': 50}], 'is_default_charging_curve': False}",400,,,,,,,,,,,,,,
cfaf82d8-0255-4e13-8bf7-2711ed619bfb,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron S,car,,2020,95,{'average_consumption': 27},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 22}","{'ports': ['ccs'], 'max_power': 188, 'charging_curve': [{'percentage': 0, 'power': 182}, {'percentage': 40, 'power': 188}, {'percentage': 50, 'power': 154}, {'percentage': 60, 'power': 112}, {'percentage': 75, 'power': 71}, {'percentage': 85, 'power': 42}, {'percentage': 100, 'power': 23}], 'is_default_charging_curve': False}",400,,,,,,,,,,,,,,
d5719a82-d898-45b5-a8f7-95cd89c9d886,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron S,car,Sportback,2020,87,{'average_consumption': 27},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 22}","{'ports': ['ccs'], 'max_power': 149, 'charging_curve': [{'percentage': 0, 'power': 148}, {'percentage': 30, 'power': 149}, {'percentage': 40, 'power': 144}, {'percentage': 70, 'power': 98}, {'percentage': 85, 'power': 59}, {'percentage': 100, 'power': 27}], 'is_default_charging_curve': False}",400,,,,,,,,,,,,,,
c945af76-3df3-4f30-bc19-a3b4b1d83be9,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron GT quattro,car,,2021,85,"{'average_consumption': 20.2, 'range': 420}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 268, 'is_default_charging_curve': True, 'charging_curve': [{'percentage': 0, 'power': 268}, {'percentage': 20, 'power': 268}, {'percentage': 40, 'power': 214}, {'percentage': 60, 'power': 161}, {'percentage': 80, 'power': 107}, {'percentage': 100, 'power': 11}]}",400,,420,,,,,,,,['charging_curve'],,,,
4c2c01f1-81ea-4c26-bc26-8d57ab2dbc33,Audi,89c2668c-0c50-4344-9386-93e4000f7673,A6 Sportback e-tron quattro,car,,2024,95,"{'average_consumption': 16.2, 'range': 585}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 270, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 270}, {'percentage': 50, 'power': 270}, {'percentage': 80, 'power': 162}, {'percentage': 100, 'power': 81}]}",400,,585,,,,,,,,,,,,
72539c24-2a60-48be-976e-7b309db2f579,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron GT RS,car,,2024,97,"{'average_consumption': 18.5, 'range': 525}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 320, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 320}, {'percentage': 50, 'power': 320}, {'percentage': 80, 'power': 192}, {'percentage': 100, 'power': 96}]}",400,,525,,,,,,,,,,,,
1cc5ae76-c065-4330-b08a-79c2323afc98,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron GT S,car,,2024,97,"{'average_consumption': 18, 'range': 540}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 320, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 320}, {'percentage': 50, 'power': 320}, {'percentage': 80, 'power': 192}, {'percentage': 100, 'power': 96}]}",400,,540,,,,,,,,,,,,
12aec4b8-620a-4daf-863f-4a78169ae7b5,Audi,89c2668c-0c50-4344-9386-93e4000f7673,A6 Avant e-tron quattro,car,,2024,95,"{'average_consumption': 17.7, 'range': 535}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 270, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 270}, {'percentage': 50, 'power': 270}, {'percentage': 80, 'power': 162}, {'percentage': 100, 'power': 81}]}",400,,535,,,,,,,,,,,,
dbd1a40b-c680-4af1-a58f-07d7486668bd,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q6 e-tron,car,,2024,76,"{'average_consumption': 19.2, 'range': 395}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 225, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 225}, {'percentage': 50, 'power': 225}, {'percentage': 80, 'power': 112.5}, {'percentage': 100, 'power': 45}]}",400,,395,,,,,,,,,,,,
61ba8028-b272-4e02-97a8-367f8cf89c55,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron Sportback 55 quattro,car,,2020,87,"{'average_consumption': 22.8, 'range': 380}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 155, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 155}, {'percentage': 50, 'power': 155}, {'percentage': 80, 'power': 93}, {'percentage': 100, 'power': 46.5}]}",400,,380,,,,,,,,,,,,
80a8992c-3246-4b00-b49d-e9d9ca153a4a,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q4 e-tron 55 quattro,car,,2023,77,"{'average_consumption': 19.5, 'range': 395}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 175, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 175}, {'percentage': 50, 'power': 175}, {'percentage': 80, 'power': 87.5}, {'percentage': 100, 'power': 35}]}",400,,395,,,,,,,,,,,,
f1f9e903-142e-486f-a2bf-ac30d523aa82,Audi,89c2668c-0c50-4344-9386-93e4000f7673,A6 Avant e-tron,car,,2024,76,"{'average_consumption': 16, 'range': 475}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 225, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 225}, {'percentage': 50, 'power': 225}, {'percentage': 80, 'power': 112.5}, {'percentage': 100, 'power': 45}]}",400,,475,,,,,,,,,,,,
6e50ee19-233b-4324-914e-8e44662b9d13,Audi,89c2668c-0c50-4344-9386-93e4000f7673,A6 Sportback e-tron,car,,2024,76,"{'average_consumption': 15.6, 'range': 485}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 225, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 225}, {'percentage': 50, 'power': 225}, {'percentage': 80, 'power': 112.5}, {'percentage': 100, 'power': 45}]}",400,,485,,,,,,,,,,,,
b79ce407-2cd0-4846-96a4-3abb16485e26,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron 50 quattro,car,,2021,65,"{'average_consumption': 23.1, 'range': 280}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 120, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 120}, {'percentage': 50, 'power': 120}, {'percentage': 80, 'power': 72}, {'percentage': 100, 'power': 36}]}",400,,280,,,,,,,,,,,,
99c63b50-d23a-4058-bfd0-ba781fa101fc,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron 55 quattro,car,,2020,87,"{'average_consumption': 23.7, 'range': 365}","{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 155, 'is_default_charging_curve': False, 'charging_curve': [{'percentage': 0, 'power': 155}, {'percentage': 50, 'power': 155}, {'percentage': 80, 'power': 93}, {'percentage': 100, 'power': 46.5}]}",400,,365,,,,,,,,,,,,
47a273c3-54de-456f-a2f1-92c246aea3f1,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron GT RS performance,car,,2024,97,{'average_consumption': 18.5},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 320, 'charging_curve': [{'percentage': 0, 'power': 320}, {'percentage': 50, 'power': 320}, {'percentage': 80, 'power': 192}, {'percentage': 100, 'power': 96}], 'is_default_charging_curve': False}",400,97,525,18.5,,,,,,,,,,,
d5d31894-1a64-4c91-8ed0-066cc5744f8b,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q4 Sportback e-tron 45,car,,2023,77,{'average_consumption': 17.7},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 150, 'charging_curve': [{'percentage': 0, 'power': 150}, {'percentage': 20, 'power': 150}, {'percentage': 40, 'power': 120}, {'percentage': 60, 'power': 90}, {'percentage': 80, 'power': 60}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",400,77,435,17.7,,,,,,,,,,,
24d45d42-9357-42ac-8354-32e2412afe30,Audi,89c2668c-0c50-4344-9386-93e4000f7673,S6 Sportback e-tron,car,,2024,95,{'average_consumption': 17.3},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 270, 'charging_curve': [{'percentage': 0, 'power': 270}, {'percentage': 50, 'power': 270}, {'percentage': 80, 'power': 162}, {'percentage': 100, 'power': 81}], 'is_default_charging_curve': False}",400,94.9,550,17.3,,,,,,,,,,,
40a2f001-0b95-4ca8-9471-321b5c0d52df,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q6 e-tron Sportback performance,car,,2024,95,{'average_consumption': 18.6},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 260, 'charging_curve': [{'percentage': 0, 'power': 260}, {'percentage': 50, 'power': 260}, {'percentage': 80, 'power': 156}, {'percentage': 100, 'power': 78}], 'is_default_charging_curve': False}",400,94.9,510,18.6,,,,,,,,,,,
1fc09086-9853-4d79-b317-3b1281e5902c,Audi,89c2668c-0c50-4344-9386-93e4000f7673,S6 Avant e-tron,car,,2024,95,{'average_consumption': 18.1},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 270, 'charging_curve': [{'percentage': 0, 'power': 270}, {'percentage': 50, 'power': 270}, {'percentage': 80, 'power': 162}, {'percentage': 100, 'power': 81}], 'is_default_charging_curve': False}",400,94.9,525,18.1,,,,,,,,,,,
645e2574-40c4-45ca-ba5f-be85d1928e0d,Audi,89c2668c-0c50-4344-9386-93e4000f7673,Q4 Sportback e-tron 40,car,,2021,77,{'average_consumption': 18},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 143, 'charging_curve': [{'percentage': 0, 'power': 143}, {'percentage': 50, 'power': 143}, {'percentage': 80, 'power': 85.8}, {'percentage': 100, 'power': 42.9}], 'is_default_charging_curve': False}",400,76.6,425,18,,,,,,,,,,,
f813b472-d164-41b9-b599-a8347f04adce,Audi,89c2668c-0c50-4344-9386-93e4000f7673,e-tron Sportback 50 quattro,car,,2021,65,{'average_consumption': 21.9},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 150, 'charging_curve': [{'percentage': 0, 'power': 150}, {'percentage': 20, 'power': 150}, {'percentage': 40, 'power': 120}, {'percentage': 60, 'power': 90}, {'percentage': 80, 'power': 60}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': True}",400,64.7,295,21.9,,,,,,,,,,,
